id,lang,type
en1,{'en': 1},article
206.57.41.114,{},user
Alainna,{},user
75.41.127.26,{},user
Rjanag,{},user
Wwbread,{},user
86.151.122.187,{},user
Needlenose,{},user
151.205.121.244,{},user
Malkin,{},user
92.22.58.37,{},user
75.165.51.90,{},user
68.77.127.94,{},user
208.48.240.133,{},user
Andrwsc,{},user
Ohms law,{},user
JTSchreiber,{},user
Mnh123,{},user
209.111.125.34,{},user
Kausill,{},user
Olegwiki,{},user
202.40.139.164,{},user
75.165.127.152,{},user
Levineps,{},user
Doniago,{},user
207.216.195.44,{},user
Zarel,{},user
150.101.188.128,{},user
Arx Fortis,{},user
Legobot II,{},user
Duke53,{},user
Vignetting,{'en': 1},article
Matte box,{'en': 1},article
Talk:Wang Dan (dissident),{'en': 1},article
User talk:Arilang1234,{'en': 1},article
Wang Dan (dissident),{'en': 1},article
Sino-Indian War,{'en': 1},article
User talk:190.92.8.180,{'en': 1},article
Benutzer:Schreiber/Chinese grammar,{'de': 1},article
Kilgour-Matas-Untersuchungsbericht,{'de': 1},article
Oh Shenandoah,{'de': 1},article
Zhengyangmen,{'en': 1},article
Nothing to My Name,{'en': 1},article
Unit 731,{'en': 1},article
Northeast China,{'en': 1},article
Black Sun,{'en': 1},article
Black Sun: The Nanking Massacre,{'en': 1},article
Men Behind the Sun,{'en': 1},article
北京語,{'ja': 1},article
朝鮮民主主義人民共和國人體實驗,{'zh': 1},article
一无所有 (歌曲),{'zh': 1},article
新长征路上的摇滚,{'zh': 1},article
中国摇滚乐,{'zh': 1},article
人体试验,{'zh': 1},article
Talk:人体试验,{'zh': 1},article
User:Needlenose,{'en': 1},article
Template:Beastie Boys,{'en': 1},article
Beastie Boys,{'en': 1},article
Wikipedia:Huggle/Whitelist,{'en': 1},article
User:Needlenose/huggle.css,{'en': 1},article
User talk:201.230.217.78,{'en': 1},article
Amazon river dolphin,{'en': 1},article
User talk:173.49.76.168,{'en': 1},article
Jorma Taccone,{'en': 1},article
Talk:1989 Tiananmen Square protests,{'en': 1},article
Wikipedia:Articles for deletion/THINGS (1989),{'en': 1},article
Wikipedia:Articles for deletion/Genevieve Hannon,{'en': 1},article
Abney Park (band),{'en': 1},article
Talk:Burn Gorman,{'en': 1},article
RegisterFly,{'en': 1},article
Wikipedia talk:Inline templates linking country articles,{'en': 1},article
2009 North Korean nuclear test,{'en': 1},article
Hong Kong at the Olympics,{'en': 1},article
1960 ABC Championship,{'en': 1},article
Abbot of Shaolin,{'en': 1},article
A Time for Love (film),{'en': 1},article
A Taste of Cold Steel,{'en': 1},article
A Place to Call Home (1970 film),{'en': 1},article
A Moment of Romance,{'en': 1},article
A Kid from Tibet,{'en': 1},article
Benutzer:Duschgeldrache2/List of Formula One Grands Prix,{'de': 1},article
Belagerung von Turin (1640),{'de': 1},article
Seeschlacht in der Bucht von Quiberon,{'de': 1},article
Belagerung von Valenciennes,{'de': 1},article
Belagerung von Lille (1708),{'de': 1},article
Belagerung von Cuneo,{'de': 1},article
Seeschlachten von Barfleur und La Hougue,{'de': 1},article
User talk:Ohms law,{'en': 1},article
Bill Cosby,{'en': 1},article
User talk:75.169.107.251,{'en': 1},article
User talk:Theoneandonlyafghanlion,{'en': 1},article
The Mary Tyler Moore Show,{'en': 1},article
Carbon tax,{'en': 1},article
Fibromyalgia,{'en': 1},article
User talk:216.185.233.102,{'en': 1},article
Swedish Customs Service,{'en': 1},article
Australian Customs and Border Protection Service,{'en': 1},article
Canada Border Services Agency,{'en': 1},article
U.S. Customs and Border Protection,{'en': 1},article
Customs,{'en': 1},article
Kalitta Air,{'en': 1},article
Kultaranta VIII,{'en': 1},article
Air transports of heads of state and government,{'en': 1},article
Royal yacht,{'en': 1},article
User talk:Kausill/zxl345,{'en': 1},article
User:Kausill/zxl345,{'en': 1},article
Wikipedia:Sandbox,{'en': 1},article
Rhys Darby,{'en': 1},article
User:Palladmial/The Wikipedia Picture Book,{'en': 1},article
2009 Iranian presidential election protests,{'en': 1},article
Trade war,{'en': 1},article
Haiti,{'en': 1},article
United States occupation of Haiti,{'en': 1},article
History of Haiti,{'en': 1},article
Сталинские репрессии,{'ru': 1},article
"Поливанов, Евгений Дмитриевич",{'ru': 1},article
2009 Iranian presidential election,{'en': 1},article
User talk:APK,{'en': 1},article
United States Holocaust Memorial Museum shooting,{'en': 1},article
温州市,{'zh': 1},article
瑞安话,{'zh': 1},article
陳偉業,{'zh': 1},article
Internet censorship in China,{'en': 1},article
John Ensign,{'en': 1},article
User talk:Levineps,{'en': 1},article
Lincoln Boyhood National Memorial,{'en': 1},article
Right-wing politics,{'en': 1},article
Dominican Republic,{'en': 1},article
Protests against Proposition 8 supporters,{'en': 1},article
Black market,{'en': 1},article
Payne Stewart,{'en': 1},article
Houston Astros,{'en': 1},article
Papst (Titel),{'de': 1},article
CKIS-FM,{'de': 1},article
All for You (Lied),{'de': 1},article
Kingdom Hearts (Computerspiel),{'de': 1},article
Konversion (Judentum),{'de': 1},article
I Get Lonely,{'de': 1},article
That’s the Way Love Goes,{'de': 1},article
Pro Wrestling Illustrated,{'en': 1},article
TI-BASIC,{'en': 1},article
List of summer camps,{'en': 1},article
Talk:The Game (mind game),{'en': 1},article
Talk:Division by zero,{'en': 1},article
Keepsake (band),{'en': 1},article
Talk:Crest Mountain,{'en': 1},article
User:Arx Fortis,{'en': 1},article
Talk:Jacques,{'en': 1},article
Silene coronaria,{'en': 1},article
Internet forum,{'en': 1},article
GNS Science,{'en': 1},article
Inertial reference unit,{'en': 1},article
Indonesia–Romania relations,{'en': 1},article
2004 Indonesian legislative election,{'en': 1},article
Indiana Jones and the Staff of Kings,{'en': 1},article
Ich werde hier sein im Sonnenschein und im Schatten,{'en': 1},article
I Put a Spell on You,{'en': 1},article
Hyria (Boeotia),{'en': 1},article
Comodo Group,{'de': 1},article
Sara Dylan,{'de': 1},article
Dienstgrade der serbischen Streitkräfte,{'de': 1},article
Hydraulophon,{'de': 1},article
Data-URL,{'de': 1},article
Maniac Mansion (Fernsehserie),{'de': 1},article
Buckfast Tonic Wine,{'de': 1},article
Benutzer:JonskiC/Scheinbar unverbundene Regressionsgleichungen,{'de': 1},article
Europa zuerst,{'de': 1},article
Lewis & Clark College,{'de': 1},article
E Street Band,{'en': 1},article
Martha Beck,{'en': 1},article
User talk:192.231.232.180,{'en': 1},article
Talk:Betty Little,{'en': 1},article
Betty Little,{'en': 1},article
Gator Growl,{'en': 1},article
en2,{'en': 1},article
RMCD bot,{},user
Havsjö,{},user
Mebden,{},user
Lingzhi2,{},user
Citobun,{},user
Colipon,{},user
Manabimasu,{},user
Ealdgyth,{},user
Jbitte,{},user
Mdu02,{},user
Mularoma,{},user
ManuRoquette,{},user
Triggerhippie4,{},user
Old Tom (Wal),{'de': 1},article
Turtle Island (Native American folklore),{'en': 1},article
Tales of the City,{'en': 1},article
2019 Hong Kong extradition bill,{'en': 1},article
Frederick Parker-Rhodes,{'en': 1},article
Great Storm of 1987,{'en': 1},article
Talk:Turtle Island (Native American folklore),{'en': 1},article
User talk:Uncle G,{'en': 1},article
Talk:Bengal famine of 1943,{'en': 1},article
2019–20 Hong Kong protests,{'en': 1},article
User talk:185.86.151.146,{'en': 1},article
Airport Express (MTR),{'en': 1},article
Shanxi,{'en': 1},article
National Development and Reform Commission,{'en': 1},article
China,{'en': 1},article
List of World Heritage Sites in Southern Asia,{'en': 1},article
President of Greece,{'en': 1},article
Athens,{'en': 1},article
Anti-corruption campaign under Xi Jinping,{'en': 1},article
Discussione:Età del consenso,{'it': 1},article
Tank Man,{'en': 1},article
Chimerica (miniseries),{'en': 1},article
Big Audio Dynamite,{'en': 1},article
Rotliegend,{'en': 1},article
Clyde Steamship Company,{'en': 1},article
Trump Heights,{'en': 1},article
Madame X (album),{'en': 1},article
May 2019 Gulf of Oman incident,{'en': 1},article
Portal:Current events/2019 June 13,{'en': 1},article
Talk:May 2019 Gulf of Oman incident,{'en': 1},article
June 2019 Gulf of Oman incident,{'en': 1},article
en3,{'en': 1},article
BabelStone,{},user
OAbot,{},user
Mike Mounier,{},user
Foghe,{},user
Pythagimedes,{},user
Weaveravel,{},user
Wiki nol ege,{},user
Chrism,{},user
Jordanopia,{},user
CaradhrasAiguo,{},user
Overseer19XX,{},user
CentreLeftRight,{},user
Levonscott,{},user
FrescoBot,{},user
Amigao,{},user
Headbomb,{},user
Citation bot,{},user
OlliverWithDoubleL,{},user
SCreditC,{},user
Kaltenmeyer,{},user
2a02:8388:6501:f00:2404:36e9:4232:be81,{},user
203.54.226.146,{},user
Orthographic ligature,{'en': 1},article
Talk:Khitan large script,{'en': 1},article
User:Aprilian Reyvan123/sandbox,{'en': 1},article
User talk:Aprilian Reyvan123,{'en': 1},article
Lycian alphabet,{'en': 1},article
Lycian (Unicode block),{'en': 1},article
Mezenia,{'en': 1},article
Matrix factorization (recommender systems),{'en': 1},article
Corruption in Nigeria,{'en': 1},article
Guida Moseley Brown Architects,{'en': 1},article
Kiga people,{'en': 1},article
Ultimate tensile strength,{'en': 1},article
Project NIMROD,{'en': 1},article
Maurice H. Rees,{'en': 1},article
DARPA Network Challenge,{'en': 1},article
Convergent evolution,{'en': 1},article
Endeavouria septemlineata,{'de': 1},article
Benzamidin,{'de': 1},article
Aula Paolo VI,{'it': 1},article
Episodi di Don Matteo (dodicesima stagione),{'it': 1},article
Cicerone denuncia Catilina,{'it': 1},article
Wikipedia:Pagine da cancellare/Epidemic (gruppo musicale),{'it': 1},article
Wikipedia:Pagine da cancellare/Life: obiettivo benessere,{'it': 1},article
Talk:Antipsychotic,{'en': 1},article
Antipsychotic,{'en': 1},article
Marriage,{'en': 1},article
Petticoat,{'en': 1},article
Talk:Abeyance,{'en': 1},article
National People's Congress decision on Hong Kong national security legislation,{'en': 1},article
Wikipedia talk:WikiProject Numbers,{'en': 1},article
Afghanistan,{'en': 1},article
Afghanistan,{'de': 1},article
Afganistán,{'es': 1},article
Afghanistan,{'it': 1},article
Grenfell Tower,{'en': 1},article
Melonpan,{'en': 1},article
Legends Never Die (Against the Current song),{'en': 1},article
1955 Le Mans disaster,{'en': 1},article
Template:Culinary herbs and spices,{'en': 1},article
Green laver,{'en': 1},article
Murtabak,{'en': 1},article
Meatloaf,{'en': 1},article
Goddess of Democracy,{'en': 1},article
Ludgate Hill (London),{'de': 1},article
Thai National Anthem,{'en': 1},article
Malaysian Chinese,{'en': 1},article
Isnaraissah Munirah Majilis,{'en': 1},article
Language secessionism,{'en': 1},article
Tibet (1912–1951),{'en': 1},article
Nanyang (region),{'en': 1},article
Tan Lark Sye,{'en': 1},article
Help:IPA/Tibetan,{'en': 1},article
Chengdu,{'en': 1},article
Talk:COVID-19 pandemic,{'en': 1},article
User talk:14.169.133.31,{'en': 1},article
Republic of China (1912–1949),{'en': 1},article
International Crisis Group,{'en': 1},article
Talk:Margaret Sanger,{'en': 1},article
Margaret Sanger,{'en': 1},article
New National Party (Grenada),{'en': 1},article
James McAvoy,{'en': 1},article
Parti révolutionnaire du peuple mongol (2010),{'fr': 1},article
National Democratic Congress (Grenada),{'de': 1},article
Partido Revolucionario del Pueblo de Mongolia (2010),{'es': 1},article
モンゴル人民革命党 (2010-),{'ja': 1},article
Partito Rivoluzionario del Popolo Mongolo (2010),{'it': 1},article
五花茶,{'zh': 1},article
简自豪,{'zh': 1},article
蒙古人民革命党 (2011年),{'zh': 1},article
Robert Smith Vance,{'en': 1},article
"4th Brigade Combat Team (Airborne), 25th Infantry Division",{'en': 1},article
Sweetbox discography,{'en': 1},article
Wildlife Alliance,{'en': 1},article
Nicaragua–South Ossetia relations,{'en': 1},article
Tom C. Clark,{'en': 1},article
Australosomus,{'en': 1},article
Jacobulus,{'en': 1},article
Lehmanotus,{'en': 1},article
Watsonulus,{'en': 1},article
Municipality (Indien),{'de': 1},article
Giuseppe Grippa,{'de': 1},article
Giovanni d’Anagni,{'de': 1},article
Giuseppe Frola,{'de': 1},article
Vincenzo Sacco,{'de': 1},article
Augusto Gaudenzi,{'de': 1},article
Meritxell Inaraja Genís,{'es': 1},article
Refinería Francisco I. Madero,{'es': 1},article
Philippe Panerai,{'es': 1},article
Auquipincush,{'es': 1},article
Anyone For Tennis,{'es': 1},article
Alexander Held,{'es': 1},article
Combinada nórdica en los Juegos Olímpicos,{'es': 1},article
Ramal ferroviario Empalme Matilde-Garibaldi,{'es': 1},article
José Luis Tafur,{'es': 1},article
Marquise Brown,{'es': 1},article
The Ocean Hunter,{'it': 1},article
Award of the Japanese Academy al miglior film,{'it': 1},article
Akbar II,{'it': 1},article
Valeria (serie televisiva),{'it': 1},article
Ali Wong,{'it': 1},article
Monese,{'it': 1},article
Rebecca velata,{'it': 1},article
Chianca Amara,{'it': 1},article
Rubens Tedeschi,{'it': 1},article
Palazzo Ostein,{'it': 1},article
Hinokitiol,{'de': 1},article
