id,lang,type
“六四事件”的版本历史 - 维基百科，自由的百科全书,{'zh': 1},article
D7CY689,{},user
Shizhao,{},user
ZWH2020ZY,{},user
柟.,{},user
Cewbot,{},user
星枢,{},user
InternetArchiveBot,{},user
世界首都环游,{},user
Antigng-bot,{},user
Nexusyeh,{},user
Subaguang,{},user
HKO2006,{},user
Nok nok0606,{},user
乘龙观音,{},user
Kerolf666,{},user
Velvel2,{},user
Peter-bomb king,{},user
羊羊32521,{},user
Tanpero,{},user
步六孤,{},user
Hf9631,{},user
K.Y.K.Z.K.,{},user
不寫條目的鼻涕蟲,{},user
第七詝,{},user
Wcam,{},user
RekishiEJ,{},user
SkEy,{},user
寒吉,{},user
Kixean777,{},user
Foodsfoods,{},user
我是一个萝莉控,{},user
嘉傑,{},user
IceTiki,{},user
Yumeto,{},user
Googol19980904,{},user
EnchanterLee,{},user
黄琬琦,{},user
Larryasou,{},user
Songsexy,{},user
扬州炒面君,{},user
AINH,{},user
Megumisbs,{},user
Huanqiu,{},user
AlexLeeCN,{},user
芄蘭,{},user
BladeRunner2077,{},user
雷电剑雨,{},user
Techyan,{},user
Wjabc1996bingnan,{},user
420peace,{},user
アハちゃん,{},user
朴益顺安,{},user
Patlabor Ingram,{},user
Njzjz,{},user
No1lovesu,{},user
Aronlee90,{},user
蟲蟲飛,{},user
Ericliu1912,{},user
Sunny00217,{},user
94rain,{},user
炸裂香巴,{},user
61.239.159.149,{},user
LiamHuang,{},user
Longyiroyue,{},user
Bagakuco,{},user
103.135.101.62,{},user
LIUs1812,{},user
Tigerzeng,{},user
176.122.156.153,{},user
139.162.59.83,{},user
47.56.192.93,{},user
Zhishengxia,{},user
122.121.54.31,{},user
218.250.110.181,{},user
TSN789,{},user
218.250.110.135,{},user
CommonsDelinker,{},user
SakuragawaSara,{},user
Jimmyshjj,{},user
172.104.172.235,{},user
118.140.62.166,{},user
Happykonger,{},user
Hjh474,{},user
203.186.25.38,{},user
210.3.92.210,{},user
Jimmy-bot,{},user
Sir Jorah Moment,{},user
WhitePhosphorus-bot,{},user
Kelly Hwong,{},user
158.182.31.248,{},user
47.244.112.170,{},user
221.126.237.230,{},user
42.200.115.128,{},user
BakaChinatsu,{},user
173.255.253.109,{},user
波斯波莉斯,{},user
118.140.135.14,{},user
Leolokey,{},user
2a02:8108:97c0:168:4425:203a:4b59:d199,{},user
103.102.7.41,{},user
219.76.26.41,{},user
Ntuccy,{},user
130.102.13.7,{},user
153.120.51.24,{},user
Rhxrhhrbhhrbx,{},user
Hhsj,{},user
刘予安,{},user
2001:b400:e302:9e28:a990:c414:e76a:a044,{},user
123.192.105.251,{},user
张传民,{},user
2001:b011:7001:152a:f125:c7ab:1b2e:f26e,{},user
43.229.28.104,{},user
134.71.249.201,{},user
Lifeingenso,{},user
百战天虫,{},user
脂肪酸钠,{},user
203.223.18.15,{},user
林劲松,{},user
KSroido,{},user
Martinleeming,{},user
Yunner,{},user
ZZyXX,{},user
Tongtongood,{},user
Ntlshuanghe4629,{},user
Manchiu,{},user
45.114.164.10,{},user
Former User aDB0haVymg,{},user
联合果君,{},user
Flyinet,{},user
CommInt'l,{},user
JAK,{},user
Zhangguozhen,{},user
Raccoozzy,{},user
Superman12345,{},user
葉又嘉,{},user
Davidzdh,{},user
Tiouraren,{},user
Iflwlou,{},user
チルノ,{},user
橙子木,{},user
小籃子,{},user
Cypp0847,{},user
MNXANL,{},user
堕天圣黑猫,{},user
TongcyDai,{},user
Xiangui,{},user
周雁棠,{},user
A635683851,{},user
YouTable,{},user
Sayorimayu,{},user
34Unionist,{},user
Esate,{},user
Wei4Green,{},user
社会我佩奇,{},user
AegonINVICTUS,{},user
Renamed user 9ff13960de57f6ee9b1a65311efbb0be,{},user
Viztor,{},user
Aoke1989,{},user
Wwbread,{},user
Es91213,{},user
NHC,{},user
Lsq 1973,{},user
BrianYWH,{},user
Vicky2019000,{},user
DavidHuai1999,{},user
HMGiovanniV,{},user
Hoidj,{},user
1.162.109.53,{},user
Andrew0915,{},user
Aizag,{},user
Interestinges.,{},user
51.68.29.87,{},user
96.49.161.76,{},user
用户1号,{},user
Xiplus,{},user
42.98.146.197,{},user
Jc lau49086,{},user
So47009,{},user
219.76.25.137,{},user
203.71.175.103,{},user
Ehime,{},user
193.37.255.26,{},user
13.231.191.215,{},user
45.114.164.197,{},user
CopperSulfate,{},user
103.192.227.149,{},user
WhitePhosphorus,{},user
223.255.183.194,{},user
178.203.233.171,{},user
ZENGasd56578asdasd,{},user
45.114.164.72,{},user
180.172.41.172,{},user
97.64.42.198,{},user
DST763291,{},user
Antigng,{},user
103.201.129.106,{},user
Vozhuo,{},user
Yoyo1222,{},user
42.200.181.218,{},user
Outlookxp,{},user
8287qs,{},user
114.136.81.32,{},user
47.52.75.161,{},user
184.144.101.6,{},user
203.198.105.197,{},user
2001:da8:207:5332:38bd:3c7c:d905:bfe7,{},user
172.96.236.13,{},user
忒有钱,{},user
193.38.139.71,{},user
2a00:23c4:4ee9:2900:f510:bcb3:97c0:ed48,{},user
115.164.40.202,{},user
人人生來平等,{},user
180.76.13.11,{},user
Rockuln,{},user
207.148.108.142,{},user
66.42.108.81,{},user
213.112.64.172,{},user
137.132.229.81,{},user
96.9.83.91,{},user
H243247437,{},user
Taekhosong,{},user
198.57.27.196,{},user
Salix56,{},user
131.227.54.111,{},user
36.226.165.192,{},user
Mongolian Beef,{},user
Jacklamf1d14,{},user
116.48.236.98,{},user
